ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
4-7T MAST MAINLINE  	30	A099           	261090         	AB51030   	102338	2022-07-01 05:24:33.900	2022-07-01 05:28:46.460	0	010            	1-8 TON   	2022-07-06	20.415
4-7T CARRIAGE SUB   	10	A099           	261090         	AB52030   	101751	2022-07-01 04:05:16.507	NULL	0	010            	1-8 TON   	2022-07-06	14.4146
4-7T CYLINDER SUB   	10	A099           	261090         	AB52022   	101339	2022-07-01 04:41:56.300	NULL	0	010            	1-8 TON   	2022-07-06	12.5861
2/130/4-5 LPGBRACKET	10	K813           	250505         	AB45FC18  	NULL	2022-07-01 05:10:44.047	NULL	0	010            	1-8 TON   	2022-06-25	10.3844
2/4-5TSPED1         	10	F879           	230086         	AB22010   	NULL	2022-07-01 05:31:31.437	NULL	0	010            	1-8 TON   	2022-06-25	16
1/170/1-8T TIREPRESS	10	F879           	230086         	ABTIRPRS  	NULL	2022-07-01 05:34:05.203	NULL	0	010            	1-8 TON   	2022-06-25	27.49
4-7T MAST MAINLINE  	40	A099           	261090         	AB51040   	101751	2022-07-01 05:38:14.220	2022-07-01 05:53:18.487	0	010            	1-8 TON   	2022-07-06	13.666
2/001/4-5MASTERCYL  	10	K813           	250505         	AB45FC19  	102165	2022-07-01 05:52:22.853	2022-07-01 05:53:14.190	0	010            	1-8 TON   	2022-06-25	16.3504
4-7T MAST MAINLINE  	50	A099           	261090         	AB51050   	101751	2022-07-01 05:53:43.910	2022-07-01 05:54:08.773	0	010            	1-8 TON   	2022-07-06	2.6679
4-7T MAST MAINLINE  	60	A099           	261090         	AB51060   	102193	2022-07-01 05:56:23.383	2022-07-01 06:03:02.137	0	010            	1-8 TON   	2022-07-06	12.3479
2/005/4-5 COWL MAIN 	5	K813           	250505         	AB45FC21  	101580	2022-07-01 07:14:30.377	NULL	0	010            	1-8 TON   	2022-06-25	20.0143
2/005/4-5 COWL MAIN 	10	K813           	250505         	AB45FC02  	102433	2022-07-01 07:33:53.553	NULL	0	010            	1-8 TON   	2022-06-25	31.2672
2/005/4-5 COWL MAIN 	20	K813           	250505         	AB45FC03  	102281	2022-07-01 07:50:37.087	NULL	0	010            	1-8 TON   	2022-06-25	31.6427
4-7T CARRIAGE SUB   	10	A099           	261090         	AB52030   	101751	2022-07-01 04:05:16.507	2022-07-01 04:27:02.450	0	010            	1-8 TON   	2022-07-06	14.4146
4-7T CYLINDER SUB   	10	A099           	261090         	AB52022   	101339	2022-07-01 04:41:56.300	2022-07-01 05:17:06.330	0	010            	1-8 TON   	2022-07-06	12.5861
4-5T OE             	10	K813           	250505         	AB52040   	101729	2022-07-01 08:21:58.930	2022-07-01 08:23:08.300	0	010            	1-8 TON   	2022-06-25	28.9179
2/050/4-5 RADIATRSUB	10	K813           	250505         	AB45FC13  	102260	2022-07-01 08:22:49.750	2022-07-01 10:45:04.070	0	010            	1-8 TON   	2022-06-25	15.1938
FLM SEAT ASSY       	10	K813           	250505         	AB92265   	102285	2022-07-01 08:59:18.637	2022-07-01 09:05:40.170	0	010            	1-8 TON   	2022-06-25	15.657475
2/040/4-5 EXHAUSTSUB	10	K813           	250505         	AB45FC12  	102260	2022-07-01 09:32:39.907	2022-07-01 09:37:57.350	0	010            	1-8 TON   	2022-06-25	8.9465806
2/020/4-5 STRAXLPREP	10	K813           	250505         	AB45FC05  	102254	2022-07-01 09:32:53.860	2022-07-01 09:43:45.613	0	010            	1-8 TON   	2022-06-25	8.5512
4-5T OE             	10	A099           	261090         	AB52040   	101724	2022-07-01 10:39:59.470	2022-07-01 12:02:03.620	0	010            	1-8 TON   	2022-07-06	69.9214
